ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
752,08/08/11,16,21,,000000,Black,,,,,,,,,,,
757,08/08/11,19,21,559,000000,Black,Nishiki,,,,,,,,,,
766,08/13/11,,,,000000,Black,Pacific,Crush Freestyle,,,Scrap,09/12/11,,,,,
768,08/13/11,,,,000000,Black,VFX,Dyho,,,As-is,08/13/11,,,,,
785,08/29/11,,,,000000,Black,Huffy,,,,Scrap,08/29/11,,,,,
820,08/13/11,,,,000000,Black,Trek,Antelope,,,,,,,,,
841,08/18/11,18,21,559,000000,Black,FS Elite,Black River,C,B,,,,,,,
842,08/18/11,18,20,559,000000,Black,Mongoose,Zero-G,C,C,,,,,,,
850,08/20/11,19,22.5,559,000000,Black,Schwinn,Sierra GS,A,A,As-is,08/20/11,,,,,
851,08/20/11,20,21,622,000000,Black,Giant,Option,A,A,As-is,08/20/11,,,,,
854,08/20/11,17,21,559,000000,Black,Diamondback,Outlook,C,C,,,,,,,
860,08/20/11,12,16,406,000000,Black,MGX ,DX2,C,C,,,,,,,
862,08/22/11,,,559,000000,Black,Columbia,Mountain Sports,B,C,Earn a Bike,08/30/11,,,,,
863,08/22/11,14,20,507,000000,Black,Specialized,Rock Hopper,B,B,As-is,10/01/11,,,,,
874,,,,,000000,Black,Huffy,AllPro,B,A,As-is,09/03/11,,,,,
877,09/15/11,,,,000000,Black,Specialized,Crossroads,B,F,As-s,09/15/11,40,40,,,
878,09/15/11,,,,000000,Black,Charger,,,,As-is,09/15/11,275,275,,,
879,09/12/11,21.5,22,,000000,Black,Trek,1400,A,C,Earn a Bike,09/19/11,88,88,,,
882,09/24/11,20.5,21,622,000000,Black,Tommaso,Imola,A,B,As-is,09/24/11,150,150,,,
888,10/03/11,,,559,000000,Black,Trek,800,B,A,As-is,10/01/11,88,88,,,
892,10/03/11,,,630,000000,Black,Schwinn,Spirit,,,Fix for Sale,10/08/11,50,50,,,
897,08/29/11,,,406,000000,Black,,,A,A,,,,,,,
